airline,aircraft,type_travel,type_cabin,date,seats_rating,cabin_staff_rating,food_rating,entertainment_rating,wifi_rating,money_rating,review,recommended
virgin-atlantic-airways,,Business,Economy Class,February 2021,1,1,1,1.0,1.0,1,"  Мою супругу летящую сегодня транзитом через Минск не выпустили из аэропорта даже со справкой отрицательного результата Covid, так что ей придется ночевать в аэропорту. Несмотря что это разрешается постановлением совмина РБ N 624. Так что хорошо подумайте перед покупкой авиабилетов Belavia через Минск. My wife travelling on transit Belavia flights via Minsk was just not allowed to exit the airport, even with negative Covid test, so has to sleep in the airport tonight. This is in a contraction with the resolution N 624, regulating border control during pandemic period. So think twice before booking Belavia tickets via Minsk.",no
virgin-atlantic-airways,,Business,Economy Class,February 2021,1,1,1,1.0,1.0,1,"  Мою супругу летящую сегодня транзитом через Минск не выпустили из аэропорта даже со справкой отрицательного результата Covid, так что ей придется ночевать в аэропорту. Несмотря что это разрешается постановлением совмина РБ N 624. Так что хорошо подумайте перед покупкой авиабилетов Belavia через Минск. My wife travelling on transit Belavia flights via Minsk was just not allowed to exit the airport, even with negative Covid test, so has to sleep in the airport tonight. This is in a contraction with the resolution N 624, regulating border control during pandemic period. So think twice before booking Belavia tickets via Minsk.",no
virgin-atlantic-airways,,Business,Economy Class,February 2021,1,1,1,1.0,1.0,1,"  Мою супругу летящую сегодня транзитом через Минск не выпустили из аэропорта даже со справкой отрицательного результата Covid, так что ей придется ночевать в аэропорту. Несмотря что это разрешается постановлением совмина РБ N 624. Так что хорошо подумайте перед покупкой авиабилетов Belavia через Минск. My wife travelling on transit Belavia flights via Minsk was just not allowed to exit the airport, even with negative Covid test, so has to sleep in the airport tonight. This is in a contraction with the resolution N 624, regulating border control during pandemic period. So think twice before booking Belavia tickets via Minsk.",no
virgin-atlantic-airways,,Business,Economy Class,February 2021,1,1,1,1.0,1.0,1,"  Мою супругу летящую сегодня транзитом через Минск не выпустили из аэропорта даже со справкой отрицательного результата Covid, так что ей придется ночевать в аэропорту. Несмотря что это разрешается постановлением совмина РБ N 624. Так что хорошо подумайте перед покупкой авиабилетов Belavia через Минск. My wife travelling on transit Belavia flights via Minsk was just not allowed to exit the airport, even with negative Covid test, so has to sleep in the airport tonight. This is in a contraction with the resolution N 624, regulating border control during pandemic period. So think twice before booking Belavia tickets via Minsk.",no
virgin-atlantic-airways,,Business,Economy Class,February 2021,1,1,1,1.0,1.0,1,"  Мою супругу летящую сегодня транзитом через Минск не выпустили из аэропорта даже со справкой отрицательного результата Covid, так что ей придется ночевать в аэропорту. Несмотря что это разрешается постановлением совмина РБ N 624. Так что хорошо подумайте перед покупкой авиабилетов Belavia через Минск. My wife travelling on transit Belavia flights via Minsk was just not allowed to exit the airport, even with negative Covid test, so has to sleep in the airport tonight. This is in a contraction with the resolution N 624, regulating border control during pandemic period. So think twice before booking Belavia tickets via Minsk.",no
virgin-atlantic-airways,,Business,Economy Class,February 2021,1,1,1,1.0,1.0,1,"  Мою супругу летящую сегодня транзитом через Минск не выпустили из аэропорта даже со справкой отрицательного результата Covid, так что ей придется ночевать в аэропорту. Несмотря что это разрешается постановлением совмина РБ N 624. Так что хорошо подумайте перед покупкой авиабилетов Belavia через Минск. My wife travelling on transit Belavia flights via Minsk was just not allowed to exit the airport, even with negative Covid test, so has to sleep in the airport tonight. This is in a contraction with the resolution N 624, regulating border control during pandemic period. So think twice before booking Belavia tickets via Minsk.",no
virgin-atlantic-airways,,Business,Economy Class,February 2021,1,1,1,1.0,1.0,1,"  Мою супругу летящую сегодня транзитом через Минск не выпустили из аэропорта даже со справкой отрицательного результата Covid, так что ей придется ночевать в аэропорту. Несмотря что это разрешается постановлением совмина РБ N 624. Так что хорошо подумайте перед покупкой авиабилетов Belavia через Минск. My wife travelling on transit Belavia flights via Minsk was just not allowed to exit the airport, even with negative Covid test, so has to sleep in the airport tonight. This is in a contraction with the resolution N 624, regulating border control during pandemic period. So think twice before booking Belavia tickets via Minsk.",no
virgin-atlantic-airways,,Business,Economy Class,February 2021,1,1,1,1.0,1.0,1,"  Мою супругу летящую сегодня транзитом через Минск не выпустили из аэропорта даже со справкой отрицательного результата Covid, так что ей придется ночевать в аэропорту. Несмотря что это разрешается постановлением совмина РБ N 624. Так что хорошо подумайте перед покупкой авиабилетов Belavia через Минск. My wife travelling on transit Belavia flights via Minsk was just not allowed to exit the airport, even with negative Covid test, so has to sleep in the airport tonight. This is in a contraction with the resolution N 624, regulating border control during pandemic period. So think twice before booking Belavia tickets via Minsk.",no
virgin-atlantic-airways,,Business,Economy Class,February 2021,1,1,1,1.0,1.0,1,"  Мою супругу летящую сегодня транзитом через Минск не выпустили из аэропорта даже со справкой отрицательного результата Covid, так что ей придется ночевать в аэропорту. Несмотря что это разрешается постановлением совмина РБ N 624. Так что хорошо подумайте перед покупкой авиабилетов Belavia через Минск. My wife travelling on transit Belavia flights via Minsk was just not allowed to exit the airport, even with negative Covid test, so has to sleep in the airport tonight. This is in a contraction with the resolution N 624, regulating border control during pandemic period. So think twice before booking Belavia tickets via Minsk.",no
virgin-atlantic-airways,,Business,Economy Class,February 2021,1,1,1,1.0,1.0,1,"  Мою супругу летящую сегодня транзитом через Минск не выпустили из аэропорта даже со справкой отрицательного результата Covid, так что ей придется ночевать в аэропорту. Несмотря что это разрешается постановлением совмина РБ N 624. Так что хорошо подумайте перед покупкой авиабилетов Belavia через Минск. My wife travelling on transit Belavia flights via Minsk was just not allowed to exit the airport, even with negative Covid test, so has to sleep in the airport tonight. This is in a contraction with the resolution N 624, regulating border control during pandemic period. So think twice before booking Belavia tickets via Minsk.",no
